ticker,quarter_ended,total_income,net_profit_loss,earnings_per_share
DNAMEDIA,31-Dec-24,677.88,254.24,0.22
ROLLT,31-Dec-24,0.32,-6.53,-
,,,,
GSTL,30-Sep-24,-,23.58,-
UCL,30-Sep-24,-,88.21,-
SIGNORIA,31-Mar-25,"1,718.70",173.09,3.64
ITALIANE,30-Sep-24,-,197.85,-
COMMITTED,30-Sep-24,-,305.21,-
AKG,31-Mar-25,"2,962.70",27.43,0.09
JAIPURKURT,31-Dec-24,"1,346.15",40.72,0.24
MONOPHARMA,30-Sep-24,-,229.3,-
PHOGLOBAL,31-Mar-25,"28,885.12",426.66,6.56
BURNPUR,31-Dec-24,-,"-1,738.68",10.09
GODHA,31-Dec-24,"1,375.00",278.84,0.41
ROLTA,31-Mar-24,898,"-99,590.00",-60.03
VELS,31-Mar-25,"4,397.85","2,278.00",17.65
QVCEL,30-Sep-24,-,189.47,-
MFML,31-Dec-24,"1,634.02",-206.09,-1.94
AGARWALFT,30-Sep-24,-,203.12,-
ABMINTLLTD,31-Mar-25,"1,785.07",-174.32,-1.81
TVVISION,31-Dec-24,"1,101.96",-659.55,-1.7
AKASH,31-Dec-24,614.08,12.21,0.07
SPPPOLY,30-Sep-24,-,116.46,-
KTL,30-Sep-24,"8,903.87",97.64,-
PEARLPOLY,31-Dec-24,521.38,-221.69,-1.32
UWCSL,30-Sep-24,-,366.6,-
AATMAJ,30-Sep-24,-,2.17,-
CELLPOINT,30-Sep-24,-,22.42,-
,,,,
DKEGL,30-Sep-24,-,273.31,-
WINNY,30-Sep-24,-,-199.46,-
LRRPL,30-Sep-24,-,49,-
SUPERSPIN,31-Dec-24,158.55,10.76,0.07
ICDSLTD,31-Dec-24,67.73,-92.37,-0.71
LAXMICOT,31-Dec-24,"4,224.56",27.2,0.16
VISAMAN,30-Sep-24,-,131.45,-
MICROPRO,30-Sep-24,-,-125.2,-
KANANIIND,31-Dec-24,32.64,17.57,0.01
GTECJAINX,31-Mar-25,464.93,18.46,0.18
THESL,30-Sep-24,-,110.39,-
ASHOKAMET,31-Dec-24,103.24,40.21,0.16
ADL,31-Dec-24,"1,230.03",1.38,0.02
KSHITIJPOL,31-Dec-24,888.84,-100.67,-0.11
ANKITMETAL,31-Dec-23,"14,686.99","-7,606.02",-5.39
,,,,
HOACFOODS,31-Mar-24,-,53.78,-
VINEETLAB,31-Mar-25,"1,545.79","-1,052.51",-11.42
IDEALTECHO,30-Sep-24,-,105.93,-
KALANA,30-Sep-24,-,70.71,-
COUNCODOS,31-Dec-24,493.47,15.34,0.03
SRPL,31-Dec-24,2.53,-465.62,-0.22
TECHIN,31-Dec-24,-,-5.97,-0.04
NEXTMEDIA,31-Mar-25,319,"7,528.00",11.42
AILIMITED,31-Mar-25,"1,503.02",74.21,2.46
MEGAFLEX,30-Sep-24,-,21,-
SHRENIK,31-Mar-25,487.48,7.76,-
SONUINFRA,30-Sep-24,-,324.87,-
NARMADA,31-Dec-24,"1,415.87",100,0.38
NGIL,31-Dec-24,"1,423.15",0.03,0.11
BINANIIND,31-Mar-25,2.48,-40.46,0.13
TAPIFRUIT,31-Mar-25,"1,044.94",-66.89,-1.92
WALPAR,31-Mar-25,"3,919.35",185.28,1.1
PODDARHOUS,31-Mar-24,"5,793.59",-28.25,-0.39
AMBICAAGAR,31-Dec-24,"3,755.62",37.7,0.22
SGL,31-Dec-24,"3,507.15",11.54,0.04
TNTELE,31-Dec-24,"1,026.00","-3,42,541.00",-0.75
PERFECT,31-Mar-24,-,71.18,-
,,,,
TIMESCAN,30-Sep-24,-,178.67,-
CONTI,31-Mar-22,-,117.98,0.19
SAGARDEEP,31-Dec-24,"2,333.67",25.5,0.15
ADROITINFO,31-Dec-24,252.15,77.53,0.26
MADHAV,31-Dec-24,720.89,60.41,0.68
TARAPUR,31-Dec-24,9.95,241.39,1.24
JETKNIT,30-Sep-24,-,-36.65,-
FLFL,30-Sep-22,"31,741.50","-1,397.70",-0.68
KKVAPOW,30-Sep-24,-,87.07,-
LIBAS,31-Dec-24,"1,248.75",-280.97,-1.07
ASLIND,30-Sep-24,-,11.13,-
KHANDSE,31-Mar-25,155.12,-205.32,-1.35
TGBHOTELS,31-Dec-24,"1,034.25",68.39,0.23
MASKINVEST,31-Dec-24,4.21,1.28,0.04
TECILCHEM,31-Dec-24,0.01,-6.14,-0.03
ATLASCYCLE,31-Dec-24,420.24,26.82,0.41
GATECH,31-Dec-24,346.14,145.63,0.03
NIDAN,30-Sep-24,-,110.13,-
BIRDYS,30-Sep-24,-,-144.63,-
ARSSINFRA,31-Dec-24,"2,066.93",-31.72,-0.14
KRIDHANINF,31-Dec-24,-5.73,-13.97,-0.01
KHAITANLTD,31-Dec-24,"1,800.12",76.69,1.61
YCCL,30-Sep-23,-,219.27,-
GAJANAND,30-Sep-24,-,113.05,-
VERA,30-Sep-24,-,125.9,-
INSPIRE,30-Sep-24,-,-375.97,-
CYBERMEDIA,31-Dec-24,290.48,-976.67,-6.23
MOHITIND,31-Dec-24,"3,049.54",-57.16,-0.4
SANGINITA,31-Mar-25,"4,986.07",-5.37,-0.02
BIKEWO,30-Sep-24,-,65.06,0.7
VIJIFIN,31-Mar-25,103.6,67.98,0.05
MORARJEE,31-Mar-24,"1,355.00","-10,559.00",-29.06
SUMEETINDS,31-Mar-25,"24,375.77","4,842.76",4.54
WILLAMAGOR,31-Dec-24,49.61,574.53,5.23
UNIINFO,31-Dec-24,798.09,-20.2,-0.19
VERITAAS,30-Sep-24,-,82.43,-
MITTAL,31-Mar-25,"2,115.15",53.74,0.01
JIWANRAM,30-Sep-24,-,90.6,-
GLOBALE,31-Dec-24,"1,213.16",-51.03,-0.48
HYBRIDFIN,31-Dec-24,61.53,5.26,0.02
MOXSH,30-Sep-24,-,12.36,-
HAVISHA,31-Dec-24,429.93,-76.52,-0.03
TIJARIA,31-Mar-25,6.12,-314.44,-1.1
NAGREEKCAP,31-Dec-24,433.02,262.03,2.08
SHANTHALA,30-Sep-24,-,42.02,-
BLUECHIP,31-Dec-24,-,-2.61,-
KANDARP,30-Sep-24,-,27.53,-
MAKS,30-Sep-24,-,13.04,-
SPRL,31-Mar-25,"1,585.39",111.88,6.25
,,,,
FEL,31-Mar-22,"32,453.00","-1,51,011.00",-30.55
SANWARIA,31-Dec-24,26.47,-93.16,-
INFOMEDIA,31-Mar-25,-,-90.85,-0.14
POLYSIL,30-Sep-24,-,138.94,-
ACEINTEG,31-Dec-24,149,-21,-0.21
NKIND,31-Dec-24,71.17,-14.56,-0.24
DHTL,30-Sep-24,-,-51.66,-
SUULD,30-Jun-24,"1,582.00","-36,164.00",-57.62
KAUSHALYA,31-Dec-24,5.28,-41.3,-11.93
OLIL,30-Sep-24,-,114.63,-
GAYAHWS,31-Dec-24,514.87,-393.22,-0.16
AGUL,30-Sep-24,-,85.24,-
,,,,
CBAZAAR,30-Sep-24,-,-147.33,-
VIVIDHA,31-Dec-24,-,-32.05,0.01
EXCELLENT,30-Sep-24,-,36.71,-
SABAR,30-Sep-24,-,85.71,-
MINDPOOL,30-Sep-24,-,5.77,-
CALSOFT,31-Dec-24,131.09,20.41,0.13
IMPEXFERRO,31-Mar-24,"3,581.68","-2,045.54",-2.33
QFIL,31-Mar-25,"7,417.35",60.1,2.11
FALCONTECH,30-Sep-24,-,81.52,-
RETAIL,31-Mar-25,561.05,31.06,0.47
HEADSUP,31-Mar-25,144.3,110.09,0.5
QUADPRO,31-Mar-22,-,69.42,0.27
EDUCOMP,31-Dec-24,99.2,"-2,218.98",-1.18
GUJRAFFIA,31-Dec-24,610.27,7.63,0.14
VILINBIO,31-Mar-25,"1,056.90",9.91,0.07
WINSOME,31-Dec-24,147,-390,-0.55
COMPINFO,31-Dec-22,"1,16,761.56",849.45,0.99
ANTGRAPHIC,30-Sep-24,39.75,-20.26,0.01
SHUBHLAXMI,30-Sep-24,-,92.91,-
BOSS,30-Sep-24,-,61.15,-
GFSTEELS,31-Dec-24,-,-15.05,-0.05
,,,,
SUNREST,30-Sep-24,-,58.16,-
PLADAINFO,30-Sep-24,-,100.41,-
MTEDUCARE,31-Dec-24,571.38,-335.08,-0.46
SECURCRED,31-Mar-22,-,111.85,-
ONELIFECAP,31-Dec-24,3,-43.96,-0.33
INDIFRA,30-Sep-24,-,26.84,-
SILLYMONKS,31-Mar-25,138.97,2.25,0.02
SAHAJ,31-Mar-24,-,43.85,-
AHIMSA,30-Sep-24,-,-91.87,-
LYPSAGEMS,31-Dec-24,593.32,1.47,-
BOHRAIND,31-Dec-24,-,-43.45,-0.3
RADAAN,31-Dec-24,236.48,2.62,0.01
GLFL,31-Mar-25,10.61,4.55,0.02
SHYAMTEL,31-Dec-24,3.32,-41.14,-0.37
SAROJA,30-Sep-24,-,33.54,-
RICHA,31-Mar-25,"11,706.44",480.89,15.57
NORBTEAEXP,31-Dec-24,202.14,-14.66,-0.12
UMESLTD,31-Dec-24,30.89,14.53,0.06
RITEZONE,30-Sep-24,-,61.68,-
NTL,31-Mar-25,540.76,"-1,309.60",-2.32
SHANTI,31-Dec-24,"1,789.71",-206.24,-1.86
TCIFINANCE,31-Mar-25,666,453,3.52
OMKARCHEM,30-Jun-22,385.84,-290.16,-1.41
MPTODAY,30-Sep-24,-,113.94,-
BRIGHT,31-Mar-24,-,-289.74,-
TRANSWIND,30-Sep-24,-,35.07,-
ORTINGLOBE,31-Dec-24,3.35,-10.69,-0.13
ARENTERP,31-Dec-24,-1.4,-8.18,-0.26
VCL,31-Dec-24,1.13,-39.13,-0.02
VIVO,30-Sep-24,-,68.82,-
AMJUMBO,31-Mar-20,-,-68.41,0.98
ALPSINDUS,31-Dec-24,26.64,"-1,604.94",-4.1
AMIABLE,30-Sep-24,-,67.72,-
MANAV,31-Mar-25,"1,829.59",300.84,4.35
JAKHARIA,30-Sep-24,-,88.26,-
DCMFINSERV,31-Dec-24,21.17,-23.77,-0.11
CREATIVEYE,31-Dec-24,17.4,-79.56,-0.4
SABEVENTS,31-Dec-24,84.86,20.05,0.19
SMVD,30-Sep-24,-,"1,302.47",-
BLUECOAST,31-Dec-24,6.81,-31.44,-0.22
DRL,30-Sep-24,-,-51.51,-
PREMIER,31-Dec-24,29,-193,-0.63
NIRAJISPAT,31-Dec-24,106.29,40.61,6.77
UNIVAFOODS,31-Dec-24,-,-11.71,-0.08
EUROTEXIND,31-Dec-24,182.32,-77.08,-0.88
FSC,30-Jun-22,"7,769.44","-3,001.50",-6.84
SETUINFRA,30-Sep-23,1.2,-46.77,-0.04
ACCORD,30-Sep-24,-,-98.04,-
BKMINDST,31-Dec-24,2.11,-48.14,-3.9
CMICABLES,31-Mar-24,927.36,-290.27,-1.81
ITTL,30-Sep-24,-,-894.22,-
JALAN,31-Mar-22,-,566.74,3.9
LAKPRE,31-Dec-17,"5,172.15","-1,266.87",-11.58
MELSTAR,31-Mar-25,-,-86.19,-3.09
SANCO,31-Mar-22,7.56,-78.46,-0.6
ORTEL,30-Jun-21,10.6,-9.31,-2.82
BGLOBAL,31-Dec-24,0.01,-18.25,-0.12
QUINTEGRA,31-Dec-24,-,-4.15,-0.02
GANGOTRI,31-Dec-24,-,-0.74,-
CMMIPL,30-Sep-24,-,-27.03,-
VASA,30-Sep-24,-,-3.22,-
RAJVIR,31-Dec-20,646.42,-851.62,-19.57
ABHISHEK,31-Dec-24,123.82,346.92,10.3
ABNINT,31-Mar-22,-,-3.83,-0.91
AHLWEST,31-Dec-24,140.64,"-2,166.70",-18.6
AIFL,30-Sep-18,"5,104.80","-3,421.23",-13.57
AJRINFRA,31-Dec-24,-23.17,-91.92,-0.01
ALCHEM,30-Sep-20,"12,486.22","-18,557.24",-136.85
ARCOTECH,31-Dec-24,-,-744.58,-0.71
,,,,
ASIL,31-Dec-24,"2,407.42",-124.77,-4.55
ATCOM,31-Dec-24,-,-4.25,-
ATNINTER,31-Dec-24,2.6,-8.59,-0.02
BALLARPUR,31-Dec-24,163.49,-833.44,-1.52
BANSAL,30-Sep-18,-,74.64,-
BDR,31-Mar-25,-,-3.58,-0.05
BHALCHANDR,31-Mar-25,9.54,1.97,0.35
BHARATIDIL,31-Dec-24,-,-3.77,-0.01
BILENERGY,31-Dec-21,-2.03,-6.63,-
BLUEBLENDS,30-Sep-21,254.72,-87.67,-
BRFL,30-Sep-22,743,"-4,735.00",-1.49
CANDC,31-Dec-24,-,-,-
CKFSL,30-Jun-19,"1,262.11",-,-5.43
CURATECH,31-Dec-24,-,-24.64,-1.26
DHARSUGAR,31-Dec-24,22.47,"-1,883.54",-5.67
DQE,31-Mar-23,-,-,-
DRSCARGO,30-Sep-24,-,77.06,-
DSKULKARNI,31-Dec-24,"1,414.10",143.15,1.43
EASTSILK,31-Dec-24,529.96,-32.06,-0.04
EASUNREYRL,31-Mar-19,627.13,-767.36,-2.49
EON,31-Dec-19,201.41,"-2,392.46",-14.15
EUROCERA,31-Mar-19,-168.02,"-40,090.31",-118.83
EUROMULTI,30-Sep-22,2.11,-298.52,-1.25
FEDDERELEC,31-Dec-24,"9,372.00",397,1.32
,,,,
GBGLOBAL,31-Dec-24,"8,861.81","3,709.42",7.41
GIRRESORTS,31-Mar-22,-,-949.67,-
GITANJALI,30-Sep-17,"2,37,857.10","3,431.98",2.89
ICSA,30-Jun-19,69.68,-144.12,-0.44
INDLMETER,31-Dec-24,181.67,-70.86,-0.82
INDOSOLAR,31-Mar-25,"19,258.73","4,004.40",9.63
INDUSFILA,31-Dec-24,-,-53.25,-1.04
IVRCLINFRA,31-Dec-24,256.48,"-79,819.95",-10.2
JAINSTUDIO,30-Sep-19,0.82,-42.65,-0.15
JBFIND,31-Dec-24,3,-114,-0.14
JPINFRATEC,31-Dec-24,"1,35,375.00","1,36,588.00",40.52
KALYANI,31-Dec-24,"13,699.19",25.53,2.55
KGL,31-Mar-19,215.92,"-1,300.57",-0.09
KSERASERA,30-Jun-24,0.09,-16.48,-
KSK,31-Dec-19,42.4,-17.6,-
KUNDANMM,31-Dec-24,"1,29,786.06","5,905.89",9.76
LAKSHMIEFL,30-Jun-19,152.6,-143.5,-0.19
LEEL,31-Mar-25,1.33,-70.43,-
MANPASAND,31-Dec-20,39.39,"-2,667.24",-2.33
MCDHOLDING,30-Sep-21,30.01,-97.89,-0.7
MERCATOR,31-Dec-23,311.8,43.8,0.01
METALFORGE,30-Jun-23,"6,677.00","-6,161.00",14.15
METKORE,30-Sep-18,-,-87.1,-0.12
MVL,30-Jun-19,-,-9.33,-
NAKODA,30-Jun-19,-,"-2,028.67",-0.68
NITINFIRE,31-Dec-24,725.41,"97,574.84",33.39
NUTEK,30-Jun-18,159.87,-608.7,0.08
OPAL,30-Sep-19,-,"-1,403.42",-
OPTOCIRCUI,31-Mar-22,"4,210.86","-15,543.14",-5.17
PDPL,31-Mar-22,181.28,"2,381.36",7.99
PENTAGOLD,30-Sep-21,-,-357.6,-
PINCON,30-Sep-17,"40,260.66","1,307.60",2.92
PRATIBHA,30-Sep-18,"8,697.00","-9,406.00",-3.94
PUNJLLOYD,31-Dec-18,"51,104.00","-2,79,506.00",-83.29
RAINBOWPAP,31-Dec-18,-,"-2,471.00",-2.33
RELCAPITAL,30-Sep-24,453,-652,0.26
RMCL,30-Sep-24,7.4,-47.2,-0.05
RMMIL,31-Dec-18,47.56,"-1,072.30",-0.54
RNAVAL,30-Sep-24,146,"-5,430.00",-10.31
RUSHABEAR,31-Dec-24,-,-7.96,-
SATHAISPAT,31-Dec-22,"1,506.07",-918.64,-1.8
SHAIVAL,31-Mar-25,115.07,36.34,0.31
SHIRPUR-G,31-Dec-24,6.59,-155.9,-0.54
,,,,
SKSTEXTILE,31-Mar-22,-,-,-
SPENTEX,31-Dec-24,"1,532.61",488.99,4.7
SPTL,31-Dec-23,-,-,-
SRIRAM,31-Mar-22,-,"-1,303.46",-
SSINFRA,30-Sep-21,-,-339.06,-
TALWALKARS,30-Jun-19,628.1,"-1,428.00",-4.61
TALWGYM,30-Jun-19,"1,346.10","-3,879.30",-12.51
TECHNOFAB,30-Jun-22,"4,773.47",-645,-6.15
TULSI,31-Dec-24,"1,192.92",-323.48,-1.54
UNIPLY,31-Dec-20,-,-203.84,-0.12
UNITY,31-Mar-18,"21,491.96","-2,22,572.43",-184.13
VALECHAENG,31-Dec-24,503,-59,-0.26
VALUEIND,31-Mar-24,51.35,"-6,682.20",-
VIDEOIND,31-Mar-24,"18,589.67","-2,26,482.22",-67.72
VISUINTL,31-Mar-23,-,-43.84,-0.11
VIVIMEDLAB,31-Dec-24,"3,423.60",-697.4,-0.84
ZICOM,31-Dec-20,78.1,-27.17,-0.07
